country_id,party,cee,family,cmp_id,parlgov_id,manichean,indivisble,generalwill,peoplecentrism,antielitism,complex,emotional,lroverall,lrecon,immigration,eu,nativism,laworder,lifestyle,intradem,personalised,nr_experts,mean_expert_response,latent
FR,LP,0,1,,,8.666667,6.888888799999999,8.125,8.3999996,8.3999996,1.375,8.2857141,7.888888799999999,2.4444444,0.2,0.1,9.1000004,8.199999799999999,3.1111112000000003,,9.3000002,10,8.8125,35.556290000000004
FR,LR,0,2,31626.0,658.0,6.8000002,5.3000002,5.9000001,3.7,3.4000001,5.3333335,5.9000001,7.5,6.6999998,1.9,5.0,7.1999998,8.1000004,2.4000001,4.8000002,7.599999900000001,10,9.9375,22.005091
FR,LaREM,0,3,31425.0,2643.0,6.3000002,4.0,5.6999998,3.3,1.4,6.5555553,4.0,6.1111112,6.6999998,4.4000001,9.0,2.7,5.8000002,7.0,3.5,9.0,10,9.875,18.20615
FR,MoDem,0,3,31624.0,509.0,3.5999999,4.8888888,4.3000002,2.0,0.89999998,6.0,1.7,5.1999998,5.5999999,5.4000001,8.3999996,2.2,3.7,5.5999999,3.4000001,7.400000099999999,10,9.875,13.703983
FR,NPA,0,6,,,8.6000004,6.5555553,6.0,8.666667,9.3000002,1.4444443999999999,7.1999998,1.7,0.89999998,9.0,2.5,1.1,2.2222223,8.300000200000001,4.0,3.2,10,9.5,34.379539
FR,PCF,0,6,31220.0,686.0,6.6999998,4.8000002,6.1999998,6.5,5.8000002,3.1111112000000003,4.8000002,2.5,1.5,7.5,3.4000001,1.7,3.5,6.8000002,4.6999998,2.3,10,9.9375,26.3846
FR,PS,0,5,31320.0,1539.0,3.0,3.8,4.6999998,2.8,1.2,5.8888888,1.9,4.3000002,4.0,6.0,7.1999998,1.9,4.0,7.400000099999999,6.0999999,3.4000001,10,9.9375,13.588870000000002
FR,Rad,0,3,,401.0,2.2857144,4.125,4.1428571000000005,2.125,1.75,5.5,1.5714285,4.222222299999999,3.8571428999999995,6.3333335,7.25,1.25,2.5555556,7.375,4.5,1.5,10,7.5,12.589996000000001
FR,UDI,0,3,31430.0,2273.0,3.4444443999999996,2.875,4.375,3.0,1.2222222,6.25,1.6666666,6.3333335,6.3333335,4.1111112,8.0,3.3333333,5.3333335,4.6666665,4.1666665,3.5,10,8.6875,13.123420000000001
GE,AfD,0,1,41953.0,2253.0,9.0,8.764705699999999,8.882352800000001,8.2352943,8.833333,1.8823528999999999,8.8888893,8.944444699999998,6.611111200000001,0.44444445,0.94444442,9.666667,9.222222300000002,1.2777778,4.2941175000000005,6.666666499999999,18,17.6875,38.318874
GE,B90Grune,0,7,41113.0,772.0,4.277777700000001,1.2352941000000002,2.0588236,4.0,3.8888887999999997,6.5882354,5.222222299999999,3.1666667,3.5,8.1764708,8.777777699999998,0.94444442,1.5,8.8888893,7.722222299999999,4.4444447,18,17.6875,13.665045999999998
GE,CDU,0,4,,808.0,3.2777777,3.4117646,3.0588236,1.8888888,1.2777778,7.352941,3.6666667,5.722222299999999,6.3333335,4.5,7.777777700000001,5.6111112,6.3333335,3.8888887999999997,3.9444443999999996,7.9444447,18,17.8125,11.307064
GE,CSU,0,4,,1180.0,5.5,5.0,4.7058824999999995,3.8888887999999997,2.5555556,5.529411799999999,6.3333335,7.111111200000001,5.6666665,2.4444444,5.6111112,7.333333500000001,8.0,2.4444444,3.3333333,7.833333500000001,18,17.8125,19.002447
