party,year,score,orientation,counts,random_state
Austrian People’s Party,2006.0,0.3333333333333333,Right-wing,15,72
The Greens,2008.0,0.1333333333333333,Left-wing,15,72
Peter Pilz List,2017.0,0.4035087719298245,Left-wing,285,72
The New Austria,2017.0,0.1774193548387097,Other,62,73
Austrian People’s Party,2013.0,0.1786407766990291,Right-wing,515,73
The Greens,2013.0,0.2144420131291028,Left-wing,457,73
The Greens,2008.0,0.229607250755287,Left-wing,331,73
The New Austria,2013.0,0.267379679144385,Other,187,73
Austrian People’s Party,2006.0,0.1818181818181818,Right-wing,198,73
Austrian People’s Party,2017.0,0.180327868852459,Right-wing,427,73
The Greens,2002.0,0.2193877551020408,Left-wing,196,73
Alliance for the Future of Austria,2008.0,0.5,Right-wing,218,73
Austrian People’s Party,2008.0,0.2804878048780488,Right-wing,82,73
Austrian Social Democratic Party,2008.0,0.2790697674418604,Left-wing,215,73
Austrian Freedom Party,2002.0,0.4431137724550898,Right-wing,167,73
The Greens,2006.0,0.3918918918918919,Left-wing,148,73
Austrian Social Democratic Party,2013.0,0.3814102564102564,Left-wing,312,73
Team Stronach for Austria,2013.0,0.44,Right-wing,150,73
The Greens,2017.0,0.4505494505494505,Left-wing,91,73
Austrian Social Democratic Party,2002.0,0.3877551020408163,Left-wing,49,73
Austrian Freedom Party,2013.0,0.5,Right-wing,40,73
Alliance for the Future of Austria,2006.0,0.4464285714285714,Right-wing,56,73
Austrian Social Democratic Party,2006.0,0.1363636363636363,Left-wing,22,73
Austrian Social Democratic Party,2017.0,0.2873563218390804,Left-wing,87,73
Austrian Freedom Party,2006.0,0.3559322033898305,Right-wing,59,73
Austrian Freedom Party,2008.0,0.4,Right-wing,60,73
Austrian Freedom Party,2017.0,0.4666666666666667,Right-wing,15,73
Austrian Communist Party,2008.0,0.1538461538461538,Left-wing,13,73
Austrian People’s Party,2002.0,0.1538461538461538,Right-wing,13,73
Peter Pilz List,2017.0,0.3263157894736842,Left-wing,285,73
The Greens,2013.0,0.3016393442622951,Left-wing,305,74
Austrian People’s Party,2013.0,0.1176470588235294,Right-wing,85,74
Austrian Freedom Party,2017.0,0.6717325227963525,Right-wing,329,74
Austrian Social Democratic Party,2006.0,0.2131147540983606,Left-wing,183,74
Austrian Social Democratic Party,2017.0,0.2360594795539033,Left-wing,538,74
Austrian People’s Party,2002.0,0.2657004830917874,Right-wing,207,74
Austrian People’s Party,2006.0,0.2088167053364269,Right-wing,431,74
Alliance for the Future of Austria,2008.0,0.4488517745302714,Right-wing,479,74
The Greens,2017.0,0.2580645161290322,Left-wing,62,74
The Greens,2008.0,0.3409090909090909,Left-wing,88,74
Austrian Social Democratic Party,2002.0,0.2307692307692307,Left-wing,13,74
Austrian Social Democratic Party,2008.0,0.2137931034482758,Left-wing,145,74
The Greens,2006.0,0.2281553398058252,Left-wing,206,74
Austrian Social Democratic Party,2013.0,0.1477272727272727,Left-wing,88,74
Austrian People’s Party,2017.0,0.375,Right-wing,16,74
Austrian Freedom Party,2006.0,0.3891402714932127,Right-wing,221,74
Austrian Freedom Party,2002.0,0.2916666666666667,Right-wing,24,74
Austrian Communist Party,2008.0,0.5094339622641509,Left-wing,53,74
Austrian People’s Party,2008.0,0.2030456852791878,Right-wing,197,74
Alliance for the Future of Austria,2006.0,0.4324324324324324,Right-wing,74,74
The New Austria,2017.0,0.3209876543209876,Other,81,74
Team Stronach for Austria,2013.0,0.4545454545454545,Right-wing,121,74
The Greens,2002.0,0.3243243243243243,Left-wing,148,74
The New Austria,2013.0,0.2826086956521739,Other,46,74
Austrian Freedom Party,2013.0,0.0909090909090909,Right-wing,11,74
Austrian Freedom Party,2008.0,0.3947368421052631,Right-wing,38,74
Peter Pilz List,2017.0,0.3212669683257919,Left-wing,221,74
Austrian Freedom Party,2008.0,0.4285714285714285,Right-wing,63,75
Austrian Freedom Party,2002.0,0.6186612576064908,Right-wing,493,75
Austrian Social Democratic Party,2017.0,0.418552036199095,Left-wing,442,75
The Greens,2017.0,0.4337349397590361,Left-wing,83,75
The Greens,2013.0,0.2456140350877192,Left-wing,57,75
Austrian Freedom Party,2006.0,0.6168831168831169,Right-wing,154,75
Austrian Social Democratic Party,2008.0,0.2418426103646833,Left-wing,521,75
The Greens,2006.0,0.2181818181818181,Left-wing,55,75
Austrian Freedom Party,2017.0,0.53125,Right-wing,96,75
Austrian Social Democratic Party,2002.0,0.2596685082872928,Left-wing,181,75
Austrian People’s Party,2017.0,0.2785714285714286,Right-wing,140,75
Alliance for the Future of Austria,2008.0,0.4946808510638298,Right-wing,188,75
The Greens,2002.0,0.1522491349480969,Left-wing,289,75
Austrian Social Democratic Party,2013.0,0.2717391304347826,Left-wing,92,75
Austrian Communist Party,2008.0,0.1944444444444444,Left-wing,72,75
Team Stronach for Austria,2013.0,0.4802631578947368,Right-wing,152,75
Austrian People’s Party,2008.0,0.1969696969696969,Right-wing,66,75
Austrian People’s Party,2002.0,0.3417085427135678,Right-wing,199,75
Austrian Freedom Party,2013.0,0.5497382198952879,Right-wing,191,75
Austrian Social Democratic Party,2006.0,0.2565217391304348,Left-wing,230,75
Austrian People’s Party,2006.0,0.5333333333333333,Right-wing,15,75
Alliance for the Future of Austria,2006.0,0.4189189189189189,Right-wing,74,75
The Greens,2008.0,0.125,Left-wing,16,75
The New Austria,2013.0,0.6363636363636364,Other,22,75
Austrian People’s Party,2013.0,0.2307692307692307,Right-wing,52,75
The New Austria,2017.0,0.4,Other,5,75
Peter Pilz List,2017.0,0.2485380116959064,Left-wing,1026,75
Alliance for the Future of Austria,2006.0,0.6268041237113402,Right-wing,485,76
Austrian Social Democratic Party,2008.0,0.160919540229885,Left-wing,87,76
Austrian Freedom Party,2013.0,0.6105263157894737,Right-wing,190,76
Austrian Freedom Party,2008.0,0.4259259259259259,Right-wing,162,76
Austrian Freedom Party,2017.0,0.6726546906187625,Right-wing,501,76
Austrian Social Democratic Party,2002.0,0.2068965517241379,Left-wing,87,76
The Greens,2002.0,0.3146067415730337,Left-wing,445,76
The Greens,2013.0,0.2579365079365079,Left-wing,252,76
Austrian Social Democratic Party,2017.0,0.2857142857142857,Left-wing,21,76
Austrian Social Democratic Party,2013.0,0.2826086956521739,Left-wing,46,76
Austrian People’s Party,2013.0,0.2077922077922078,Right-wing,77,76
Alliance for the Future of Austria,2008.0,0.3529411764705882,Right-wing,68,76
Austrian People’s Party,2006.0,0.3114754098360656,Right-wing,61,76
Austrian People’s Party,2002.0,0.2887323943661972,Right-wing,142,76
Austrian Social Democratic Party,2006.0,0.1309523809523809,Left-wing,84,76
Austrian Freedom Party,2002.0,0.4010695187165775,Right-wing,187,76
Austrian People’s Party,2008.0,0.3006993006993007,Right-wing,143,76
Austrian Freedom Party,2006.0,0.6220735785953178,Right-wing,299,76
Austrian Communist Party,2008.0,0.3575129533678756,Left-wing,193,76
The Greens,2017.0,0.263681592039801,Left-wing,201,76
The New Austria,2013.0,0.2142857142857142,Other,56,76
The Greens,2008.0,0.1458333333333333,Left-wing,48,76
The Greens,2006.0,0.1690140845070422,Left-wing,71,76
The New Austria,2017.0,0.125,Other,8,76
Team Stronach for Austria,2013.0,0.25,Right-wing,16,76
Austrian People’s Party,2017.0,0.2777777777777778,Right-wing,18,76
Peter Pilz List,2017.0,0.2992202729044834,Left-wing,1026,76
Austrian Communist Party,2008.0,0.3382352941176471,Left-wing,136,77
Austrian Social Democratic Party,2013.0,0.2130281690140845,Left-wing,568,77
Team Stronach for Austria,2013.0,0.542713567839196,Right-wing,199,77
Austrian Social Democratic Party,2006.0,0.1804123711340206,Left-wing,194,77
Austrian Social Democratic Party,2008.0,0.3576642335766423,Left-wing,137,77
The Greens,2017.0,0.3076923076923077,Left-wing,208,77
Austrian Freedom Party,2006.0,0.435064935064935,Right-wing,154,77
The Greens,2006.0,0.2004310344827586,Left-wing,464,77
The Greens,2002.0,0.271875,Left-wing,320,77
Alliance for the Future of Austria,2008.0,0.5119047619047619,Right-wing,84,77
Austrian Freedom Party,2017.0,0.5,Right-wing,18,77
Austrian Freedom Party,2008.0,0.521505376344086,Right-wing,186,77
Alliance for the Future of Austria,2006.0,0.5555555555555556,Right-wing,306,77
Austrian People’s Party,2006.0,0.4603960396039604,Right-wing,202,77
Austrian People’s Party,2008.0,0.2365339578454332,Right-wing,427,77
The New Austria,2013.0,0.4166666666666667,Other,72,77
Austrian People’s Party,2013.0,0.5384615384615384,Right-wing,65,77
Austrian Freedom Party,2002.0,0.6458333333333334,Right-wing,48,77
The New Austria,2017.0,0.38,Other,50,77
Austrian People’s Party,2002.0,0.1862745098039215,Right-wing,102,77
The Greens,2013.0,0.3157894736842105,Left-wing,38,77
Austrian Social Democratic Party,2002.0,0.2857142857142857,Left-wing,63,77
Austrian Social Democratic Party,2017.0,0.4761904761904761,Left-wing,84,77
Austrian Freedom Party,2013.0,0.2142857142857142,Right-wing,14,77
Austrian People’s Party,2017.0,0.2222222222222222,Right-wing,18,77
The Greens,2008.0,0.0769230769230769,Left-wing,13,77
Peter Pilz List,2017.0,0.3310104529616725,Left-wing,287,77
The Greens,2008.0,0.1995305164319248,Left-wing,426,78
Austrian Freedom Party,2013.0,0.3692946058091286,Right-wing,241,78
Austrian People’s Party,2002.0,0.2695924764890282,Right-wing,319,78
Austrian Social Democratic Party,2013.0,0.1263157894736842,Left-wing,95,78
Austrian Social Democratic Party,2002.0,0.2857142857142857,Left-wing,77,78
Alliance for the Future of Austria,2006.0,0.217391304347826,Right-wing,92,78
Austrian Freedom Party,2006.0,0.275,Right-wing,80,78
The New Austria,2013.0,0.2361702127659574,Other,470,78
Austrian Freedom Party,2008.0,0.2941176470588235,Right-wing,17,78
Alliance for the Future of Austria,2008.0,0.5495327102803739,Right-wing,535,78
Austrian People’s Party,2006.0,0.1928571428571428,Right-wing,140,78
Austrian People’s Party,2008.0,0.2296296296296296,Right-wing,135,78
The Greens,2013.0,0.2551020408163265,Left-wing,196,78
Austrian Social Democratic Party,2017.0,0.1297297297297297,Left-wing,185,78
Team Stronach for Austria,2013.0,0.615625,Right-wing,320,78
Austrian Freedom Party,2002.0,0.4362745098039216,Right-wing,204,78
The Greens,2002.0,0.375,Left-wing,64,78
Austrian People’s Party,2017.0,0.2615384615384615,Right-wing,130,78
The New Austria,2017.0,0.2837837837837837,Other,74,78
Austrian Social Democratic Party,2008.0,0.2558139534883721,Left-wing,43,78
Austrian People’s Party,2013.0,0.4166666666666667,Right-wing,12,78
The Greens,2017.0,0.1636363636363636,Left-wing,55,78
Austrian Communist Party,2008.0,0.208955223880597,Left-wing,201,78
Austrian Social Democratic Party,2006.0,0.2727272727272727,Left-wing,77,78
The Greens,2006.0,0.3333333333333333,Left-wing,18,78
Austrian Freedom Party,2017.0,0.2926829268292683,Right-wing,41,78
Peter Pilz List,2017.0,0.1071428571428571,Left-wing,28,78
Austrian Social Democratic Party,2006.0,0.1504587155963302,Left-wing,545,79
Austrian People’s Party,2017.0,0.1414634146341463,Right-wing,205,79
Austrian People’s Party,2008.0,0.2178649237472767,Right-wing,459,79
Austrian Freedom Party,2008.0,0.2686567164179104,Right-wing,67,79
The Greens,2006.0,0.1041666666666666,Left-wing,48,79
Austrian Freedom Party,2006.0,0.5,Right-wing,6,79
The Greens,2013.0,0.22,Left-wing,50,79
Austrian Social Democratic Party,2013.0,0.1632653061224489,Left-wing,196,79
Austrian People’s Party,2002.0,0.2781954887218045,Right-wing,133,79
The Greens,2017.0,0.2328042328042328,Left-wing,189,79
The New Austria,2013.0,0.2694300518134715,Other,193,79
The Greens,2008.0,0.1209150326797385,Left-wing,306,79
Austrian People’s Party,2006.0,0.1698113207547169,Right-wing,53,79
The New Austria,2017.0,0.3537414965986394,Other,147,79
Team Stronach for Austria,2013.0,0.521551724137931,Right-wing,464,79
Austrian Freedom Party,2017.0,0.4752475247524752,Right-wing,202,79
Austrian Freedom Party,2002.0,0.5231788079470199,Right-wing,151,79
The Greens,2002.0,0.4606741573033708,Left-wing,89,79
Austrian People’s Party,2013.0,0.2666666666666666,Right-wing,75,79
Alliance for the Future of Austria,2006.0,0.3157894736842105,Right-wing,57,79
Austrian Social Democratic Party,2002.0,0.2616822429906542,Left-wing,107,79
Austrian Social Democratic Party,2017.0,0.1832298136645962,Left-wing,322,79
Austrian Freedom Party,2013.0,0.4333333333333333,Right-wing,90,79
Alliance for the Future of Austria,2008.0,0.3157894736842105,Right-wing,19,79
Austrian Social Democratic Party,2008.0,0.4117647058823529,Left-wing,51,79
Austrian Communist Party,2008.0,0.2222222222222222,Left-wing,9,79
Peter Pilz List,2017.0,0.2631578947368421,Left-wing,76,79
Team Stronach for Austria,2013.0,0.3237410071942446,Right-wing,139,80
The Greens,2013.0,0.2615384615384615,Left-wing,65,80
The Greens,2008.0,0.2888888888888888,Left-wing,180,80
Austrian Freedom Party,2017.0,0.6421267893660532,Right-wing,489,80
Austrian Social Democratic Party,2013.0,0.238095238095238,Left-wing,84,80
Austrian People’s Party,2017.0,0.3169642857142857,Right-wing,448,80
Austrian Social Democratic Party,2002.0,0.3601895734597156,Left-wing,211,80
The Greens,2002.0,0.2933333333333333,Left-wing,75,80
Austrian Social Democratic Party,2017.0,0.2888888888888888,Left-wing,45,80
Austrian People’s Party,2013.0,0.391304347826087,Right-wing,207,80
Austrian Freedom Party,2006.0,0.3993399339933993,Right-wing,303,80
Austrian Social Democratic Party,2006.0,0.1111111111111111,Left-wing,99,80
The Greens,2017.0,0.2526315789473684,Left-wing,190,80
Alliance for the Future of Austria,2006.0,0.2727272727272727,Right-wing,22,80
Austrian Freedom Party,2002.0,0.7007434944237918,Right-wing,538,80
Austrian People’s Party,2002.0,0.2849740932642487,Right-wing,193,80
Austrian People’s Party,2008.0,0.3141025641025641,Right-wing,156,80
Austrian Communist Party,2008.0,0.3846153846153846,Left-wing,39,80
The New Austria,2017.0,0.2615384615384615,Other,65,80
Austrian Social Democratic Party,2008.0,0.1770833333333333,Left-wing,96,80
Austrian Freedom Party,2008.0,0.3,Right-wing,10,80
The New Austria,2013.0,0.2553846153846154,Other,325,80
Austrian People’s Party,2006.0,0.3257575757575757,Right-wing,132,80
Alliance for the Future of Austria,2008.0,0.4210526315789473,Right-wing,19,80
The Greens,2006.0,0.3692307692307692,Left-wing,65,80
Austrian Freedom Party,2013.0,0.6666666666666666,Right-wing,6,80
Peter Pilz List,2017.0,0.3186813186813186,Left-wing,182,80
Austrian People’s Party,2006.0,0.3522727272727273,Right-wing,88,81
The Greens,2008.0,0.2769230769230769,Left-wing,65,81
Austrian People’s Party,2013.0,0.2633928571428571,Right-wing,224,81
Austrian Freedom Party,2006.0,0.5755813953488372,Right-wing,172,81
Austrian Social Democratic Party,2008.0,0.217391304347826,Left-wing,414,81
The Greens,2013.0,0.2871794871794871,Left-wing,195,81
Austrian Freedom Party,2013.0,0.6310679611650486,Right-wing,309,81
Austrian People’s Party,2002.0,0.3617021276595745,Right-wing,47,81
Austrian People’s Party,2017.0,0.3352826510721247,Right-wing,513,81
Austrian Social Democratic Party,2017.0,0.2716417910447761,Left-wing,335,81
The Greens,2002.0,0.3267326732673267,Left-wing,202,81
Alliance for the Future of Austria,2008.0,0.5996055226824457,Right-wing,507,81
Austrian Social Democratic Party,2002.0,0.25,Left-wing,84,81
Austrian Freedom Party,2008.0,0.2676056338028169,Right-wing,142,81
Austrian Social Democratic Party,2013.0,0.2620087336244541,Left-wing,229,81
The Greens,2017.0,0.3151515151515151,Left-wing,165,81
Austrian Social Democratic Party,2006.0,0.1290322580645161,Left-wing,62,81
The Greens,2006.0,0.3103448275862069,Left-wing,29,81
The New Austria,2013.0,0.3673469387755102,Other,49,81
The New Austria,2017.0,0.44,Other,50,81
Austrian Freedom Party,2017.0,0.3902439024390244,Right-wing,123,81
Austrian People’s Party,2008.0,0.3333333333333333,Right-wing,15,81
Alliance for the Future of Austria,2006.0,0.4285714285714285,Right-wing,70,81
Austrian Communist Party,2008.0,0.4333333333333333,Left-wing,60,81
Austrian Freedom Party,2002.0,0.4,Right-wing,5,81
Team Stronach for Austria,2013.0,0.3125,Right-wing,16,81
Peter Pilz List,2017.0,0.2578397212543554,Left-wing,287,81
Austrian Social Democratic Party,2006.0,0.2878787878787879,Left-wing,330,82
The New Austria,2017.0,0.2147971360381861,Other,419,82
Austrian Freedom Party,2006.0,0.4523809523809524,Right-wing,210,82
Austrian Social Democratic Party,2002.0,0.2295918367346938,Left-wing,196,82
Austrian People’s Party,2017.0,0.2799145299145299,Right-wing,468,82
Austrian Social Democratic Party,2008.0,0.3785310734463277,Left-wing,177,82
The Greens,2017.0,0.2358974358974359,Left-wing,195,82
Austrian People’s Party,2006.0,0.147239263803681,Right-wing,326,82
Austrian Social Democratic Party,2017.0,0.2898550724637681,Left-wing,138,82
Austrian People’s Party,2008.0,0.2941176470588235,Right-wing,68,82
The Greens,2006.0,0.2397260273972602,Left-wing,146,82
Alliance for the Future of Austria,2008.0,0.6538461538461539,Right-wing,520,82
The New Austria,2013.0,0.25,Other,40,82
Austrian Social Democratic Party,2013.0,0.3333333333333333,Left-wing,78,82
The Greens,2002.0,0.2906976744186046,Left-wing,86,82
Austrian Communist Party,2008.0,0.0612244897959183,Left-wing,98,82
Austrian Freedom Party,2008.0,0.3673469387755102,Right-wing,49,82
Alliance for the Future of Austria,2006.0,0.28,Right-wing,150,82
Austrian People’s Party,2013.0,0.2857142857142857,Right-wing,63,82
The Greens,2008.0,0.1648351648351648,Left-wing,91,82
Austrian Freedom Party,2002.0,0.4666666666666667,Right-wing,15,82
Austrian Freedom Party,2017.0,0.3088235294117647,Right-wing,68,82
Austrian People’s Party,2002.0,0.3333333333333333,Right-wing,21,82
Team Stronach for Austria,2013.0,0.5555555555555556,Right-wing,54,82
The Greens,2013.0,0.2,Left-wing,10,82
Austrian Freedom Party,2013.0,0.7,Right-wing,20,82
Peter Pilz List,2017.0,0.3246930422919509,Left-wing,733,82
Austrian People’s Party,2008.0,0.3972602739726027,Right-wing,146,83
Austrian Social Democratic Party,2013.0,0.2705314009661835,Left-wing,207,83
Alliance for the Future of Austria,2006.0,0.5714285714285714,Right-wing,147,83
The Greens,2017.0,0.2876404494382023,Left-wing,445,83
The Greens,2013.0,0.28,Left-wing,225,83
Austrian Social Democratic Party,2006.0,0.2576576576576576,Left-wing,555,83
Austrian Social Democratic Party,2017.0,0.3426966292134831,Left-wing,178,83
Austrian Social Democratic Party,2008.0,0.2531645569620253,Left-wing,79,83
The New Austria,2013.0,0.3724832214765101,Other,298,83
Austrian Freedom Party,2013.0,0.6414473684210527,Right-wing,304,83
Team Stronach for Austria,2013.0,0.5619469026548672,Right-wing,452,83
Austrian People’s Party,2002.0,0.3176470588235294,Right-wing,85,83
The Greens,2008.0,0.2513089005235602,Left-wing,191,83
Austrian Freedom Party,2006.0,0.611764705882353,Right-wing,85,83
Austrian People’s Party,2013.0,0.2358974358974359,Right-wing,195,83
Austrian Freedom Party,2002.0,0.4,Right-wing,10,83
Austrian People’s Party,2006.0,0.3714285714285714,Right-wing,70,83
The Greens,2006.0,0.3636363636363636,Left-wing,55,83
The New Austria,2017.0,0.2592592592592592,Other,81,83
Austrian Freedom Party,2017.0,0.463768115942029,Right-wing,138,83
Austrian Freedom Party,2008.0,0.4642857142857143,Right-wing,84,83
Austrian Social Democratic Party,2002.0,0.4571428571428571,Left-wing,70,83
Alliance for the Future of Austria,2008.0,0.3333333333333333,Right-wing,36,83
Austrian People’s Party,2017.0,0.2727272727272727,Right-wing,11,83
Austrian Communist Party,2008.0,0.28,Left-wing,25,83
The Greens,2002.0,0.2941176470588235,Left-wing,17,83
Peter Pilz List,2017.0,0.2217194570135746,Left-wing,221,83
The New Austria,2017.0,0.2454545454545454,Other,330,84
Austrian Freedom Party,2013.0,0.4426229508196721,Right-wing,305,84
The Greens,2013.0,0.5106382978723404,Left-wing,188,84
The Greens,2008.0,0.2865064695009242,Left-wing,541,84
Austrian Freedom Party,2008.0,0.3648648648648648,Right-wing,148,84
The Greens,2002.0,0.3061224489795918,Left-wing,196,84
Austrian People’s Party,2008.0,0.3484848484848485,Right-wing,66,84
Austrian Communist Party,2008.0,0.1904761904761904,Left-wing,84,84
Austrian Freedom Party,2006.0,0.581858407079646,Right-wing,452,84
Austrian Freedom Party,2002.0,0.5446224256292906,Right-wing,437,84
Austrian Social Democratic Party,2006.0,0.1954022988505747,Left-wing,87,84
The New Austria,2013.0,0.4066666666666667,Other,150,84
Austrian People’s Party,2017.0,0.3823529411764705,Right-wing,34,84
Alliance for the Future of Austria,2006.0,0.4880382775119617,Right-wing,209,84
Austrian People’s Party,2013.0,0.3186274509803921,Right-wing,204,84
Austrian Social Democratic Party,2002.0,0.2987012987012987,Left-wing,154,84
The Greens,2006.0,0.4125,Left-wing,80,84
The Greens,2017.0,0.3069306930693069,Left-wing,101,84
Austrian People’s Party,2002.0,0.2830188679245283,Right-wing,53,84
Austrian Social Democratic Party,2017.0,0.2912621359223301,Left-wing,206,84
Austrian Social Democratic Party,2013.0,0.2708333333333333,Left-wing,48,84
Austrian Social Democratic Party,2008.0,0.1,Left-wing,10,84
Austrian People’s Party,2006.0,0.2816901408450704,Right-wing,71,84
Team Stronach for Austria,2013.0,0.2777777777777778,Right-wing,54,84
Austrian Freedom Party,2017.0,0.5416666666666666,Right-wing,24,84
Alliance for the Future of Austria,2008.0,0.6,Right-wing,15,84
Peter Pilz List,2017.0,0.2857142857142857,Left-wing,28,84
Austrian Social Democratic Party,2013.0,0.5421686746987951,Left-wing,83,85
Austrian People’s Party,2013.0,0.2425249169435216,Right-wing,301,85
The New Austria,2017.0,0.41,Other,200,85
The New Austria,2013.0,0.410958904109589,Other,73,85
Austrian Communist Party,2008.0,0.2578125,Left-wing,512,85
The Greens,2006.0,0.3478260869565217,Left-wing,414,85
The Greens,2017.0,0.2270992366412213,Left-wing,524,85
Austrian Freedom Party,2002.0,0.6217948717948718,Right-wing,156,85
Austrian Freedom Party,2013.0,0.5427631578947368,Right-wing,304,85
Austrian Social Democratic Party,2006.0,0.3645833333333333,Left-wing,96,85
The Greens,2013.0,0.4222222222222222,Left-wing,135,85
Austrian Freedom Party,2006.0,0.5319148936170213,Right-wing,141,85
Austrian Social Democratic Party,2017.0,0.3676470588235294,Left-wing,204,85
The Greens,2002.0,0.3561643835616438,Left-wing,219,85
Austrian People’s Party,2006.0,0.3125,Right-wing,192,85
Alliance for the Future of Austria,2008.0,0.7659574468085106,Right-wing,94,85
Team Stronach for Austria,2013.0,0.6203208556149733,Right-wing,187,85
Austrian Social Democratic Party,2002.0,0.3846153846153846,Left-wing,52,85
Austrian People’s Party,2008.0,0.4285714285714285,Right-wing,70,85
Austrian Freedom Party,2017.0,0.7346938775510204,Right-wing,49,85
The Greens,2008.0,0.5714285714285714,Left-wing,14,85
Austrian People’s Party,2002.0,0.3888888888888889,Right-wing,18,85
Austrian Freedom Party,2008.0,0.4769230769230769,Right-wing,65,85
Alliance for the Future of Austria,2006.0,0.3333333333333333,Right-wing,9,85
Austrian People’s Party,2017.0,0.325,Right-wing,40,85
Austrian Social Democratic Party,2008.0,0.4444444444444444,Left-wing,18,85
Peter Pilz List,2017.0,0.4982578397212543,Left-wing,287,85
Austrian Social Democratic Party,2017.0,0.1867469879518072,Left-wing,498,86
The New Austria,2013.0,0.2552204176334107,Other,431,86
Austrian People’s Party,2008.0,0.5,Right-wing,52,86
Austrian People’s Party,2002.0,0.4,Right-wing,75,86
Austrian People’s Party,2017.0,0.1988847583643122,Right-wing,538,86
Austrian People’s Party,2006.0,0.2234042553191489,Right-wing,188,86
Alliance for the Future of Austria,2006.0,0.4611650485436893,Right-wing,206,86
Austrian Freedom Party,2008.0,0.6751592356687898,Right-wing,314,86
The New Austria,2017.0,0.2,Other,45,86
Austrian Freedom Party,2002.0,0.5177664974619289,Right-wing,197,86
Austrian Social Democratic Party,2013.0,0.1911764705882352,Left-wing,68,86
The Greens,2002.0,0.328125,Left-wing,192,86
Austrian Freedom Party,2017.0,0.6041666666666666,Right-wing,144,86
Alliance for the Future of Austria,2008.0,0.648936170212766,Right-wing,94,86
The Greens,2013.0,0.4121621621621621,Left-wing,148,86
Austrian Social Democratic Party,2006.0,0.3711340206185567,Left-wing,194,86
The Greens,2008.0,0.2777777777777778,Left-wing,18,86
Austrian Communist Party,2008.0,0.2823529411764706,Left-wing,85,86
Austrian People’s Party,2013.0,0.3922829581993569,Right-wing,311,86
Austrian Freedom Party,2013.0,0.5588235294117647,Right-wing,136,86
Austrian Social Democratic Party,2002.0,0.1477272727272727,Left-wing,88,86
The Greens,2017.0,0.125,Left-wing,8,86
Austrian Social Democratic Party,2008.0,0.3723404255319149,Left-wing,94,86
The Greens,2006.0,0.1525423728813559,Left-wing,59,86
Team Stronach for Austria,2013.0,0.2954545454545454,Right-wing,44,86
Austrian Freedom Party,2006.0,0.35,Right-wing,20,86
Peter Pilz List,2017.0,0.3571428571428571,Left-wing,28,86
Austrian Freedom Party,2006.0,0.6347438752783965,Right-wing,449,87
Austrian People’s Party,2017.0,0.2285714285714285,Right-wing,70,87
Austrian Social Democratic Party,2008.0,0.3865030674846625,Left-wing,489,87
The Greens,2002.0,0.3097826086956521,Left-wing,184,87
Alliance for the Future of Austria,2006.0,0.6362007168458781,Right-wing,558,87
Austrian Freedom Party,2013.0,0.5707070707070707,Right-wing,198,87
Team Stronach for Austria,2013.0,0.5526315789473685,Right-wing,38,87
Alliance for the Future of Austria,2008.0,0.5851063829787234,Right-wing,94,87
The New Austria,2017.0,0.3127753303964757,Other,227,87
Austrian Social Democratic Party,2002.0,0.3043478260869565,Left-wing,46,87
The Greens,2006.0,0.3299492385786802,Left-wing,197,87
Austrian People’s Party,2002.0,0.2982456140350877,Right-wing,285,87
Austrian People’s Party,2008.0,0.3052631578947368,Right-wing,95,87
Austrian Freedom Party,2008.0,0.3992805755395683,Right-wing,278,87
Austrian People’s Party,2006.0,0.2816901408450704,Right-wing,71,87
Austrian Communist Party,2008.0,0.3679245283018867,Left-wing,212,87
Austrian Social Democratic Party,2017.0,0.5,Left-wing,22,87
Austrian People’s Party,2013.0,0.2894736842105263,Right-wing,76,87
The New Austria,2013.0,0.2753623188405797,Other,138,87
Austrian Freedom Party,2002.0,0.3357664233576642,Right-wing,137,87
Austrian Freedom Party,2017.0,0.5892857142857143,Right-wing,56,87
Austrian Social Democratic Party,2006.0,0.3448275862068966,Left-wing,145,87
The Greens,2017.0,0.2758620689655172,Left-wing,58,87
The Greens,2008.0,0.4,Left-wing,15,87
The Greens,2013.0,0.3888888888888889,Left-wing,18,87
Austrian Social Democratic Party,2013.0,0.5714285714285714,Left-wing,7,87
Peter Pilz List,2017.0,0.5436893203883495,Left-wing,309,87
The Greens,2006.0,0.3,Left-wing,500,88
Alliance for the Future of Austria,2006.0,0.2808988764044944,Right-wing,89,88
Austrian Freedom Party,2002.0,0.5811623246492986,Right-wing,499,88
Austrian Social Democratic Party,2013.0,0.2608695652173913,Left-wing,299,88
The New Austria,2017.0,0.2941176470588235,Other,85,88
The Greens,2008.0,0.3681318681318681,Left-wing,182,88
Team Stronach for Austria,2013.0,0.6371951219512195,Right-wing,328,88
Austrian Freedom Party,2017.0,0.6717171717171717,Right-wing,198,88
Austrian Social Democratic Party,2017.0,0.2857142857142857,Left-wing,434,88
Austrian People’s Party,2013.0,0.2807017543859649,Right-wing,57,88
The Greens,2017.0,0.2857142857142857,Left-wing,49,88
Austrian Communist Party,2008.0,0.291866028708134,Left-wing,209,88
Alliance for the Future of Austria,2008.0,0.6073298429319371,Right-wing,191,88
The Greens,2013.0,0.2150537634408602,Left-wing,93,88
Austrian Social Democratic Party,2006.0,0.3571428571428571,Left-wing,56,88
The Greens,2002.0,0.25,Left-wing,208,88
